0.00.038.545 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.039.278 W srv  llama_server: -----------------
0.00.039.282 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.039.282 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.039.283 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.039.283 W srv  llama_server: -----------------
0.00.040.648 I srv    load_model: loading model '/srv/models/qwen38-ud-iq1-s/Qwen3.8-Flash-Next-UD-IQ1_S-00001-of-00003.gguf'
0.04.663.698 I cmn          init: llama threadpool init, n_threads = 14
0.06.402.966 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.06.411.075 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.06.411.121 I srv  llama_server: model loaded
0.06.411.125 I srv  llama_server: listening on http://127.0.0.1:18600
0.20.020.816 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.20.020.923 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.29.135.488 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =    252, progress = 0.98, t =   9.11 s / 27.65 tokens per second
0.33.888.367 I slot print_timing: id  3 | task 0 | prompt eval time =   10710.00 ms /   256 tokens (   41.84 ms per token,    23.90 tokens per second)
0.33.888.373 I slot print_timing: id  3 | task 0 |        eval time =    3157.29 ms /     8 tokens (  451.04 ms per token,     2.22 tokens per second)
0.33.888.374 I slot print_timing: id  3 | task 0 |       total time =   13867.29 ms /   264 tokens
0.33.888.379 I slot print_timing: id  3 | task 0 |    graphs reused =          7
0.33.888.419 I slot      release: id  3 | task 0 | stop processing: n_tokens = 263, truncated = 0
0.38.896.161 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.973
0.38.896.197 I slot launch_slot_: id  3 | task 10 | processing task, is_child = 0
0.47.339.797 I slot print_timing: id  3 | task 10 | prompt processing, n_tokens =    252, progress = 0.98, t =   8.44 s / 29.85 tokens per second
0.52.134.445 I slot print_timing: id  3 | task 10 | prompt eval time =   10069.60 ms /   256 tokens (   39.33 ms per token,    25.42 tokens per second)
