0.00.035.582 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.036.311 W srv  llama_server: -----------------
0.00.036.315 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.036.315 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.036.316 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.036.316 W srv  llama_server: -----------------
0.00.037.633 I srv    load_model: loading model '/srv/models/qwen38-ud-iq1-s/Qwen3.8-Flash-Next-UD-IQ1_S-00001-of-00003.gguf'
0.04.139.166 I cmn          init: llama threadpool init, n_threads = 14
0.05.820.787 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.05.829.015 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.05.829.061 I srv  llama_server: model loaded
0.05.829.066 I srv  llama_server: listening on http://127.0.0.1:18500
0.20.191.115 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.20.191.157 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.29.447.834 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =    252, progress = 0.98, t =   9.26 s / 27.22 tokens per second
0.34.353.997 I slot print_timing: id  3 | task 0 | prompt eval time =   10877.51 ms /   256 tokens (   42.49 ms per token,    23.53 tokens per second)
0.34.354.003 I slot print_timing: id  3 | task 0 |        eval time =    3285.18 ms /     8 tokens (  469.31 ms per token,     2.13 tokens per second)
0.34.354.004 I slot print_timing: id  3 | task 0 |       total time =   14162.69 ms /   264 tokens
0.34.354.009 I slot print_timing: id  3 | task 0 |    graphs reused =          7
0.34.354.048 I slot      release: id  3 | task 0 | stop processing: n_tokens = 263, truncated = 0
0.34.496.104 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.973
0.34.496.156 I slot launch_slot_: id  3 | task 10 | processing task, is_child = 0
0.43.084.061 I slot print_timing: id  3 | task 10 | prompt processing, n_tokens =    252, progress = 0.98, t =   8.59 s / 29.34 tokens per second
0.47.976.960 I slot print_timing: id  3 | task 10 | prompt eval time =   10198.20 ms /   256 tokens (   39.84 ms per token,    25.10 tokens per second)
